Node,Number of Visits,Relative Importance Score,%
1901,2875,0.0002875,0.028749999999999998
1896,2866,0.0002866,0.028659999999999998
1288,2860,0.000286,0.0286
1492,2854,0.0002854,0.02854
2385,2844,0.0002844,0.028439999999999997
541,2839,0.0002839,0.028390000000000002
2237,2836,0.0002836,0.02836
2209,2828,0.0002828,0.02828
119,2827,0.0002827,0.02827
824,2826,0.0002826,0.028259999999999997
2875,2825,0.0002825,0.028249999999999997
448,2823,0.0002823,0.028229999999999998
1786,2821,0.0002821,0.028210000000000002
1726,2819,0.0002819,0.028190000000000003
855,2818,0.0002818,0.028180000000000004
1457,2816,0.0002816,0.02816
818,2808,0.0002808,0.02808
396,2807,0.0002807,0.028069999999999998
43,2794,0.0002794,0.027940000000000003
3343,2793,0.0002793,0.02793
1999,2792,0.0002792,0.02792
2646,2791,0.0002791,0.02791
3205,2785,0.0002785,0.02785
2634,2784,0.0002784,0.02784
2412,2777,0.0002777,0.027769999999999996
1904,2774,0.0002774,0.02774
1330,2774,0.0002774,0.02774
1376,2770,0.000277,0.027700000000000002
710,2770,0.000277,0.027700000000000002
960,2765,0.0002765,0.02765
1428,2764,0.0002764,0.027639999999999998
1103,2764,0.0002764,0.027639999999999998
2026,2762,0.0002762,0.02762
725,2757,0.0002757,0.027569999999999997
2430,2756,0.0002756,0.027559999999999998
2344,2754,0.0002754,0.027540000000000002
3489,2754,0.0002754,0.027540000000000002
2413,2753,0.0002753,0.027530000000000002
2225,2747,0.0002747,0.02747
2035,2742,0.0002742,0.02742
2785,2738,0.0002738,0.027379999999999998
2516,2737,0.0002737,0.02737
3165,2736,0.0002736,0.02736
2076,2735,0.0002735,0.02735
3304,2730,0.000273,0.0273
703,2726,0.0002726,0.02726
578,2725,0.0002725,0.02725
909,2724,0.0002724,0.02724
1068,2720,0.000272,0.0272
922,2717,0.0002717,0.02717
325,2715,0.0002715,0.027149999999999997
2236,2712,0.0002712,0.02712
2215,2703,0.0002703,0.027030000000000002
92,2694,0.0002694,0.02694
241,2689,0.0002689,0.026889999999999997
809,2685,0.0002685,0.026850000000000002
3163,2685,0.0002685,0.026850000000000002
2569,2681,0.0002681,0.02681
1845,2680,0.000268,0.0268
1587,2673,0.0002673,0.02673
2063,2670,0.000267,0.026699999999999998
1481,2668,0.0002668,0.02668
2868,2657,0.0002657,0.02657
2557,2649,0.0002649,0.02649
5017,2648,0.0002648,0.02648
906,2645,0.0002645,0.026449999999999998
3167,2640,0.000264,0.026400000000000003
190,2634,0.0002634,0.026340000000000002
660,2632,0.0002632,0.02632
4845,2629,0.0002629,0.02629
1070,2624,0.0002624,0.02624
3212,2624,0.0002624,0.02624
253,2622,0.0002622,0.026219999999999997
2057,2619,0.0002619,0.02619
2524,2613,0.0002613,0.02613
2410,2612,0.0002612,0.02612
2719,2610,0.000261,0.0261
3114,2609,0.0002609,0.02609
3481,2607,0.0002607,0.02607
2409,2603,0.0002603,0.026029999999999998
2612,2602,0.0002602,0.026019999999999998
4587,2601,0.0002601,0.02601
1973,2599,0.0002599,0.02599
3767,2595,0.0002595,0.02595
2395,2594,0.0002594,0.02594
2337,2593,0.0002593,0.02593
693,2591,0.0002591,0.025910000000000002
826,2589,0.0002589,0.02589
1541,2587,0.0002587,0.02587
2122,2585,0.0002585,0.025849999999999998
2206,2580,0.000258,0.025799999999999997
2131,2577,0.0002577,0.025769999999999998
4250,2576,0.0002576,0.025759999999999998
664,2574,0.0002574,0.025740000000000002
5171,2573,0.0002573,0.025730000000000003
3617,2573,0.0002573,0.025730000000000003
864,2571,0.0002571,0.02571
1620,2570,0.000257,0.0257
2661,2566,0.0002566,0.02566
412,2565,0.0002565,0.02565
4063,2562,0.0002562,0.02562
2223,2560,0.000256,0.025599999999999998
3363,2559,0.0002559,0.025589999999999998
3168,2558,0.0002558,0.02558
136,2556,0.0002556,0.02556
808,2556,0.0002556,0.02556
1475,2551,0.0002551,0.02551
629,2549,0.0002549,0.025490000000000002
1240,2548,0.0002548,0.025480000000000003
2210,2548,0.0002548,0.025480000000000003
1797,2545,0.0002545,0.02545
5048,2542,0.0002542,0.025419999999999998
998,2541,0.0002541,0.02541
2222,2540,0.000254,0.0254
2163,2540,0.000254,0.0254
2127,2537,0.0002537,0.02537
2200,2537,0.0002537,0.02537
821,2537,0.0002537,0.02537
64,2536,0.0002536,0.025359999999999997
1772,2536,0.0002536,0.025359999999999997
4304,2533,0.0002533,0.02533
979,2532,0.0002532,0.02532
2398,2528,0.0002528,0.02528
1894,2527,0.0002527,0.02527
637,2526,0.0002526,0.02526
1061,2525,0.0002525,0.02525
5940,2524,0.0002524,0.025240000000000002
258,2522,0.0002522,0.02522
819,2519,0.0002519,0.02519
532,2518,0.0002518,0.02518
3768,2518,0.0002518,0.02518
2595,2516,0.0002516,0.02516
5086,2514,0.0002514,0.02514
2773,2513,0.0002513,0.02513
1327,2511,0.0002511,0.025109999999999997
397,2509,0.0002509,0.02509
3509,2509,0.0002509,0.02509
243,2502,0.0002502,0.02502
919,2500,0.00025,0.025
2208,2497,0.0002497,0.02497
5451,2497,0.0002497,0.02497
295,2496,0.0002496,0.02496
789,2496,0.0002496,0.02496
4159,2494,0.0002494,0.02494
804,2492,0.0002492,0.024919999999999998
1711,2491,0.0002491,0.024909999999999998
106,2489,0.0002489,0.02489
575,2488,0.0002488,0.02488
3017,2487,0.0002487,0.024869999999999996
364,2486,0.0002486,0.024860000000000004
398,2481,0.0002481,0.024810000000000002
393,2477,0.0002477,0.02477
3344,2474,0.0002474,0.024739999999999998
626,2474,0.0002474,0.024739999999999998
2593,2473,0.0002473,0.02473
3336,2473,0.0002473,0.02473
3568,2471,0.0002471,0.02471
1524,2470,0.000247,0.0247
21,2468,0.0002468,0.024679999999999997
1071,2468,0.0002468,0.024679999999999997
102,2466,0.0002466,0.024659999999999998
2373,2466,0.0002466,0.024659999999999998
3789,2466,0.0002466,0.024659999999999998
982,2465,0.0002465,0.02465
1866,2463,0.0002463,0.024630000000000003
4166,2463,0.0002463,0.024630000000000003
2581,2462,0.0002462,0.024620000000000003
5941,2460,0.000246,0.0246
4540,2460,0.000246,0.0246
4813,2458,0.0002458,0.02458
2552,2456,0.0002456,0.024560000000000002
802,2453,0.0002453,0.02453
3750,2453,0.0002453,0.02453
4317,2453,0.0002453,0.02453
443,2451,0.0002451,0.02451
5300,2448,0.0002448,0.02448
2403,2447,0.0002447,0.02447
2543,2439,0.0002439,0.02439
56,2433,0.0002433,0.02433
828,2431,0.0002431,0.02431
51,2426,0.0002426,0.02426
916,2424,0.0002424,0.02424
3677,2423,0.0002423,0.02423
395,2421,0.0002421,0.02421
1280,2420,0.000242,0.0242
3003,2416,0.0002416,0.024159999999999997
587,2415,0.0002415,0.024149999999999998
944,2414,0.0002414,0.02414
6039,2414,0.0002414,0.02414
290,2406,0.0002406,0.024059999999999998
1418,2405,0.0002405,0.02405
757,2404,0.0002404,0.02404
696,2402,0.0002402,0.02402
736,2400,0.00024,0.024
142,2397,0.0002397,0.023969999999999998
2415,2397,0.0002397,0.023969999999999998
3335,2397,0.0002397,0.023969999999999998
392,2396,0.0002396,0.02396
527,2396,0.0002396,0.02396
3066,2390,0.000239,0.0239
1556,2389,0.0002389,0.02389
531,2384,0.0002384,0.02384
4539,2384,0.0002384,0.02384
4227,2383,0.0002383,0.02383
1898,2382,0.0002382,0.023819999999999997
1644,2382,0.0002382,0.023819999999999997
1424,2381,0.0002381,0.023809999999999998
740,2379,0.0002379,0.023790000000000002
898,2376,0.0002376,0.02376
468,2376,0.0002376,0.02376
1476,2374,0.0002374,0.02374
2396,2372,0.0002372,0.023719999999999998
1199,2371,0.0002371,0.02371
1233,2370,0.000237,0.0237
418,2370,0.000237,0.0237
5254,2367,0.0002367,0.02367
2016,2366,0.0002366,0.02366
1868,2366,0.0002366,0.02366
5283,2365,0.0002365,0.02365
1535,2363,0.0002363,0.023629999999999998
2645,2362,0.0002362,0.02362
3136,2360,0.000236,0.0236
394,2358,0.0002358,0.02358
3772,2358,0.0002358,0.02358
2613,2355,0.0002355,0.02355
1144,2352,0.0002352,0.02352
2400,2348,0.0002348,0.023479999999999997
1454,2348,0.0002348,0.023479999999999997
814,2347,0.0002347,0.02347
1837,2341,0.0002341,0.02341
5942,2339,0.0002339,0.02339
183,2335,0.0002335,0.023350000000000003
1143,2329,0.0002329,0.023289999999999998
3715,2326,0.0002326,0.02326
522,2318,0.0002318,0.02318
1444,2317,0.0002317,0.02317
1899,2313,0.0002313,0.02313
2360,2312,0.0002312,0.02312
2216,2311,0.0002311,0.023110000000000002
4491,2305,0.0002305,0.023049999999999998
1902,2304,0.0002304,0.023039999999999998
706,2304,0.0002304,0.023039999999999998
2500,2303,0.0002303,0.02303
850,2301,0.0002301,0.023010000000000003
2259,2300,0.00023,0.023
3808,2298,0.0002298,0.02298
3220,2295,0.0002295,0.022949999999999998
1219,2294,0.0002294,0.02294
1670,2294,0.0002294,0.02294
2089,2294,0.0002294,0.02294
3370,2294,0.0002294,0.02294
1085,2290,0.000229,0.0229
5407,2290,0.000229,0.0229
3822,2288,0.0002288,0.02288
2075,2287,0.0002287,0.02287
2938,2286,0.0002286,0.02286
604,2283,0.0002283,0.02283
296,2282,0.0002282,0.02282
3243,2282,0.0002282,0.02282
3563,2282,0.0002282,0.02282
778,2280,0.000228,0.0228
1297,2280,0.000228,0.0228
5584,2277,0.0002277,0.022770000000000002
5428,2277,0.0002277,0.022770000000000002
1936,2276,0.0002276,0.02276
4986,2276,0.0002276,0.02276
2146,2275,0.0002275,0.02275
3995,2275,0.0002275,0.02275
1349,2273,0.0002273,0.02273
1115,2273,0.0002273,0.02273
1840,2272,0.0002272,0.02272
3169,2270,0.000227,0.022699999999999998
690,2270,0.000227,0.022699999999999998
1047,2269,0.0002269,0.022690000000000002
2729,2268,0.0002268,0.022680000000000002
62,2266,0.0002266,0.02266
2078,2266,0.0002266,0.02266
900,2266,0.0002266,0.02266
4273,2265,0.0002265,0.02265
2014,2264,0.0002264,0.02264
1350,2264,0.0002264,0.02264
889,2262,0.0002262,0.02262
2211,2261,0.0002261,0.022609999999999998
2961,2261,0.0002261,0.022609999999999998
2213,2256,0.0002256,0.02256
3491,2256,0.0002256,0.02256
4855,2254,0.0002254,0.02254
1906,2252,0.0002252,0.02252
2968,2252,0.0002252,0.02252
5483,2251,0.0002251,0.02251
1540,2249,0.0002249,0.02249
2713,2246,0.0002246,0.02246
1402,2245,0.0002245,0.02245
5105,2243,0.0002243,0.022430000000000002
4415,2242,0.0002242,0.02242
5437,2238,0.0002238,0.02238
914,2237,0.0002237,0.022369999999999998
1132,2237,0.0002237,0.022369999999999998
969,2237,0.0002237,0.022369999999999998
3113,2237,0.0002237,0.022369999999999998
1456,2236,0.0002236,0.022359999999999998
1911,2235,0.0002235,0.022350000000000002
282,2233,0.0002233,0.02233
2448,2233,0.0002233,0.02233
50,2231,0.0002231,0.02231
1339,2231,0.0002231,0.02231
1394,2229,0.0002229,0.02229
1383,2228,0.0002228,0.02228
712,2227,0.0002227,0.022269999999999998
2402,2225,0.0002225,0.02225
1487,2224,0.0002224,0.022240000000000003
2973,2223,0.0002223,0.02223
1895,2222,0.0002222,0.02222
1890,2220,0.000222,0.0222
1881,2217,0.0002217,0.02217
1897,2212,0.0002212,0.02212
2401,2212,0.0002212,0.02212
3669,2212,0.0002212,0.02212
1347,2211,0.0002211,0.02211
4180,2207,0.0002207,0.02207
2358,2206,0.0002206,0.02206
1044,2204,0.0002204,0.02204
2789,2202,0.0002202,0.02202
1441,2201,0.0002201,0.022010000000000002
289,2200,0.00022,0.022000000000000002
110,2198,0.0002198,0.02198
2393,2198,0.0002198,0.02198
5091,2198,0.0002198,0.02198
4733,2197,0.0002197,0.02197
228,2196,0.0002196,0.02196
3781,2195,0.0002195,0.02195
6087,2194,0.0002194,0.021939999999999998
2212,2192,0.0002192,0.02192
4943,2191,0.0002191,0.021910000000000002
2158,2190,0.000219,0.021900000000000003
1458,2190,0.000219,0.021900000000000003
3681,2190,0.000219,0.021900000000000003
1069,2185,0.0002185,0.02185
4793,2184,0.0002184,0.02184
1072,2183,0.0002183,0.02183
257,2183,0.0002183,0.02183
1342,2183,0.0002183,0.02183
1501,2183,0.0002183,0.02183
1048,2182,0.0002182,0.02182
2916,2182,0.0002182,0.02182
1741,2178,0.0002178,0.02178
3960,2178,0.0002178,0.02178
215,2176,0.0002176,0.02176
309,2176,0.0002176,0.02176
510,2175,0.0002175,0.02175
1137,2175,0.0002175,0.02175
955,2174,0.0002174,0.02174
2285,2174,0.0002174,0.02174
4844,2174,0.0002174,0.02174
995,2174,0.0002174,0.02174
3862,2173,0.0002173,0.02173
2407,2172,0.0002172,0.02172
683,2172,0.0002172,0.02172
2974,2171,0.0002171,0.02171
451,2169,0.0002169,0.021689999999999997
1333,2166,0.0002166,0.021660000000000002
5381,2166,0.0002166,0.021660000000000002
3456,2164,0.0002164,0.02164
810,2163,0.0002163,0.02163
2039,2161,0.0002161,0.02161
2774,2160,0.000216,0.021599999999999998
5096,2160,0.000216,0.021599999999999998
915,2154,0.0002154,0.02154
117,2153,0.0002153,0.02153
4173,2152,0.0002152,0.02152
2072,2151,0.0002151,0.02151
3476,2150,0.000215,0.0215
1123,2149,0.0002149,0.02149
5325,2149,0.0002149,0.02149
1034,2149,0.0002149,0.02149
1332,2148,0.0002148,0.02148
202,2147,0.0002147,0.02147
529,2144,0.0002144,0.02144
1054,2144,0.0002144,0.02144
3362,2144,0.0002144,0.02144
1606,2144,0.0002144,0.02144
3894,2144,0.0002144,0.02144
1928,2142,0.0002142,0.02142
4706,2141,0.0002141,0.02141
6091,2141,0.0002141,0.02141
2031,2134,0.0002134,0.02134
920,2134,0.0002134,0.02134
5316,2134,0.0002134,0.02134
2186,2133,0.0002133,0.021330000000000002
1573,2132,0.0002132,0.021320000000000002
3480,2131,0.0002131,0.02131
4570,2129,0.0002129,0.02129
1212,2128,0.0002128,0.02128
1425,2128,0.0002128,0.02128
2119,2126,0.0002126,0.021259999999999998
4435,2126,0.0002126,0.021259999999999998
5168,2126,0.0002126,0.021259999999999998
256,2125,0.0002125,0.021249999999999998
2070,2123,0.0002123,0.021230000000000002
5278,2123,0.0002123,0.021230000000000002
2090,2122,0.0002122,0.02122
1516,2121,0.0002121,0.02121
5890,2120,0.000212,0.0212
227,2117,0.0002117,0.02117
4781,2117,0.0002117,0.02117
455,2117,0.0002117,0.02117
1129,2117,0.0002117,0.02117
2493,2116,0.0002116,0.021159999999999998
1954,2115,0.0002115,0.02115
1090,2115,0.0002115,0.02115
1595,2112,0.0002112,0.02112
1907,2111,0.0002111,0.02111
1389,2111,0.0002111,0.02111
835,2109,0.0002109,0.02109
917,2107,0.0002107,0.02107
2073,2106,0.0002106,0.02106
3907,2106,0.0002106,0.02106
803,2105,0.0002105,0.02105
2201,2104,0.0002104,0.02104
2583,2104,0.0002104,0.02104
2578,2104,0.0002104,0.02104
5140,2102,0.0002102,0.021019999999999997
2658,2099,0.0002099,0.02099
1258,2097,0.0002097,0.02097
5604,2097,0.0002097,0.02097
5577,2096,0.0002096,0.02096
5858,2095,0.0002095,0.02095
477,2094,0.0002094,0.02094
3488,2094,0.0002094,0.02094
2443,2093,0.0002093,0.02093
1798,2093,0.0002093,0.02093
356,2092,0.0002092,0.020919999999999998
2392,2092,0.0002092,0.020919999999999998
1905,2090,0.000209,0.020900000000000002
1673,2090,0.000209,0.020900000000000002
583,2088,0.0002088,0.02088
4181,2087,0.0002087,0.02087
815,2087,0.0002087,0.02087
550,2086,0.0002086,0.02086
563,2086,0.0002086,0.02086
621,2085,0.0002085,0.02085
1074,2085,0.0002085,0.02085
432,2083,0.0002083,0.020829999999999998
5672,2080,0.000208,0.0208
303,2079,0.0002079,0.020790000000000003
3138,2078,0.0002078,0.02078
347,2076,0.0002076,0.02076
1329,2076,0.0002076,0.02076
4371,2076,0.0002076,0.02076
5754,2076,0.0002076,0.02076
178,2075,0.0002075,0.02075
163,2074,0.0002074,0.02074
1073,2074,0.0002074,0.02074
2690,2073,0.0002073,0.02073
2580,2071,0.0002071,0.02071
2304,2070,0.000207,0.0207
2007,2068,0.0002068,0.02068
476,2066,0.0002066,0.02066
2600,2066,0.0002066,0.02066
2907,2066,0.0002066,0.02066
4105,2066,0.0002066,0.02066
1730,2065,0.0002065,0.02065
2948,2065,0.0002065,0.02065
1923,2063,0.0002063,0.02063
3096,2063,0.0002063,0.02063
2148,2062,0.0002062,0.02062
3185,2062,0.0002062,0.02062
1915,2061,0.0002061,0.02061
2232,2061,0.0002061,0.02061
2359,2060,0.000206,0.0206
1255,2060,0.000206,0.0206
2836,2060,0.000206,0.0206
1461,2060,0.000206,0.0206
5491,2059,0.0002059,0.02059
1762,2058,0.0002058,0.020579999999999998
2067,2057,0.0002057,0.02057
3460,2057,0.0002057,0.02057
1228,2056,0.0002056,0.020560000000000002
3054,2056,0.0002056,0.020560000000000002
59,2055,0.0002055,0.020550000000000002
3619,2053,0.0002053,0.02053
167,2051,0.0002051,0.02051
2025,2048,0.0002048,0.020479999999999998
1025,2048,0.0002048,0.020479999999999998
645,2047,0.0002047,0.02047
937,2045,0.0002045,0.02045
1374,2044,0.0002044,0.02044
4966,2044,0.0002044,0.02044
2869,2042,0.0002042,0.02042
2114,2041,0.0002041,0.02041
2281,2040,0.000204,0.0204
3146,2040,0.000204,0.0204
5552,2040,0.000204,0.0204
2630,2039,0.0002039,0.02039
4641,2039,0.0002039,0.02039
2032,2038,0.0002038,0.02038
452,2038,0.0002038,0.02038
2038,2036,0.0002036,0.02036
4678,2035,0.0002035,0.02035
1968,2033,0.0002033,0.02033
6179,2029,0.0002029,0.02029
1486,2028,0.0002028,0.02028
1792,2027,0.0002027,0.02027
3699,2027,0.0002027,0.02027
4709,2027,0.0002027,0.02027
732,2026,0.0002026,0.02026
1519,2026,0.0002026,0.02026
2080,2025,0.0002025,0.020249999999999997
1531,2023,0.0002023,0.02023
2528,2023,0.0002023,0.02023
385,2022,0.0002022,0.020220000000000002
5474,2022,0.0002022,0.020220000000000002
330,2019,0.0002019,0.02019
5525,2019,0.0002019,0.02019
1489,2018,0.0002018,0.02018
453,2017,0.0002017,0.02017
1547,2017,0.0002017,0.02017
1084,2017,0.0002017,0.02017
2272,2015,0.0002015,0.020149999999999998
3376,2015,0.0002015,0.020149999999999998
2408,2012,0.0002012,0.020120000000000002
518,2012,0.0002012,0.020120000000000002
2650,2011,0.0002011,0.02011
989,2011,0.0002011,0.02011
1168,2011,0.0002011,0.02011
5380,2011,0.0002011,0.02011
3779,2010,0.000201,0.0201
2079,2009,0.0002009,0.02009
2966,2007,0.0002007,0.02007
2984,2006,0.0002006,0.02006
3590,2006,0.0002006,0.02006
4885,2006,0.0002006,0.02006
2862,2005,0.0002005,0.02005
3158,2004,0.0002004,0.02004
